year,month,average
2337,8,1450.133342
2337,9,1452.600577
2337,10,1457.560243
2337,11,1462.071318
2337,12,1464.685905
2338,1,1465.989087
2338,2,1466.271414
2338,3,1465.949912
2338,4,1464.906991
2338,5,1461.540627
2338,6,1455.369441
2338,7,1450.290138
2338,8,1449.533864
2338,9,1452.000079
2338,10,1456.958647
2338,11,1461.468695
2338,12,1464.082546
2339,1,1465.385259
2339,2,1465.667412
2339,3,1465.346028
2339,4,1464.30356
2339,5,1460.938203
2339,6,1454.768568
2339,7,1449.690622
2339,8,1448.935238
2339,9,1451.402503
2339,10,1456.36215
2339,11,1460.873352
2339,12,1463.488547
2340,1,1464.792666
2340,2,1465.076217
2340,3,1464.756113
2340,4,1463.71475
2340,5,1460.350438
2340,6,1454.181678
2340,7,1449.103705
2340,8,1448.347239
2340,9,1450.813123
2340,10,1455.771083
2340,11,1460.280468
2340,12,1462.89396
2341,1,1464.19649
2341,2,1464.47862
2341,3,1464.157286
2341,4,1463.114951
2341,5,1459.750171
2341,6,1453.58146
2341,7,1448.503355
2341,8,1447.746324
2341,9,1450.211853
2341,10,1455.169555
2341,11,1459.678844
2341,12,1462.292532
2342,1,1463.595443
2342,2,1463.878085
2342,3,1463.557304
2342,4,1462.515523
2342,5,1459.15143
2342,6,1452.983446
2342,7,1447.905371
2342,8,1447.147505
2342,9,1449.612072
2342,10,1454.568669
2342,11,1459.076871
2342,12,1461.689721
2343,1,1462.99203
2343,2,1463.274347
2343,3,1462.953529
2343,4,1461.912053
2343,5,1458.548839
2343,6,1452.38231
2343,7,1447.305566
2343,8,1446.548631
2343,9,1449.014341
2343,10,1453.972145
2343,11,1458.48165
2343,12,1461.096001
2344,1,1462.399865
2344,2,1462.683707
2344,3,1462.364262
2344,4,1461.323934
2344,5,1457.961743
2344,6,1451.795986
2344,7,1446.718999
2344,8,1445.960667
2344,9,1448.424609
2344,10,1453.380302
2344,11,1457.887561
2344,12,1460.499806
2345,1,1461.801737
2345,2,1462.083909
2345,3,1461.76311
2345,4,1460.721846
