PointID,NUTS_ID,NUTS_NAME,STATE_NAME,Latitude,Longitude,nearest_grid_id,nearest_latitude,nearest_longitude,distance_deg
263,DEF0E,Steinburg,Schleswig-Holstein,53.931699,9.71344,C425R116,53.93,9.71,0.0038366914131844586
264,DEF0D,Segeberg,Schleswig-Holstein,53.929376,9.838123,C438R116,53.93,9.84,0.0019780053083861423
265,DEF0D,Segeberg,Schleswig-Holstein,53.944063,9.925845,C447R115,53.94,9.93,0.005811367653144078
266,DEF0D,Segeberg,Schleswig-Holstein,53.945859,10.015133,C456R114,53.949999999999996,10.02,0.006390271512225955
269,DEF0D,Segeberg,Schleswig-Holstein,53.951397,10.402294,C494R114,53.949999999999996,10.4,0.0026858974291674013
270,DEF08,Ostholstein,Schleswig-Holstein,53.941464,10.556424,C510R115,53.94,10.56,0.003864074533445437
271,DEF08,Ostholstein,Schleswig-Holstein,53.932438,10.621407,C516R116,53.93,10.620000000000001,0.002814869979232795
272,DEF08,Ostholstein,Schleswig-Holstein,53.935337,10.787496,C533R115,53.94,10.79,0.005292786128306944
273,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.914519,11.034781,C557R118,53.91,11.030000000000001,0.006578702151641504
274,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.911961,11.140718,C568R118,53.91,11.14,0.0020883115189081207
276,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.918044,11.499879,C604R122,53.87,11.5,0.048044152370506285
277,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.920464,11.665263,C621R117,53.919999999999995,11.67,0.004759670681886674
278,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.904197,11.754978,C629R119,53.9,11.75,0.006511166792521591
279,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.920233,11.894806,C643R117,53.919999999999995,11.89,0.004811644729196762
280,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.914856,11.989143,C653R118,53.91,11.99,0.004931042993123888
